task,horizon,ticker,model,window,date,hyperparameter,candidates,retained,missing_indicators,excluded_low_coverage,excluded_constant,retained_set,intercept_only,train_rows,rank,condition_number,effective_df,nonzero_coefficients,tree_leaves,stage
return,1,ATI,P4_market,expanding,2024-06-30,intercept_only,69,61,0,8,0,1fd2f2db9b82,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P5_industry,expanding,2024-06-30,intercept_only,74,66,0,8,0,47515588cb01,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P6_business,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_only,expanding,2024-06-30,intercept_only,22,18,0,4,0,7568e36267f6,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_valuation,expanding,2024-06-30,intercept_only,32,27,0,5,0,49a8c04b6b01,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_market,expanding,2024-06-30,intercept_only,63,57,0,6,0,39c7f96a505b,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_financial,expanding,2024-06-30,intercept_only,54,50,0,4,0,2ba5555a3f45,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_valuation,expanding,2024-06-30,intercept_only,66,60,0,6,0,e836c0201204,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_momentum,expanding,2024-06-30,intercept_only,74,66,0,8,0,76182b6146a6,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_risk,expanding,2024-06-30,100.0,70,62,4,8,0,3174fb5ea767,False,102,64,5939.030151039786,0.5870648461875481,66,,specifications_return_ATI
return,1,ATI,without_industry,expanding,2024-06-30,intercept_only,75,67,0,8,0,57702bd4165c,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_business,expanding,2024-06-30,intercept_only,74,66,0,8,0,47515588cb01,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,claims_proxy_sensitivity,expanding,2024-06-30,intercept_only,83,74,0,9,0,791aabc4ce21,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ridge_rolling84,rolling84,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,84,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,core_ridge,expanding,2024-06-30,intercept_only,6,6,0,0,0,580c0de17c4f,True,102,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,ridge_full,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,boost_full,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,core_ols,expanding,2024-07-31,0,6,6,0,0,0,580c0de17c4f,False,103,6,7.490919112488266,6.0,6,,specifications_return_ATI
return,1,ATI,core_ridge,expanding,2024-07-31,intercept_only,6,6,0,0,0,580c0de17c4f,True,103,0,,0.0,0,,specifications_return_ATI
